Id,Title,Target
971,CVE-2021-31214 Visual Studio Code Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-31211.  ,Critical
972,CVE-2021-31186 Windows Remote Desktop Protocol (RDP) Information Disclosure Vulnerability  ,Critical
973,"CVE-2021-31167 Windows Container Manager Service Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-31165, CVE-2021-31168, CVE-2021-31169, CVE-2021-31208.  ",Critical
974,CVE-2021-31185 Windows Desktop Bridge Denial of Service Vulnerability  ,Critical
975,"CVE-2021-31175 Microsoft Office Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-31176, CVE-2021-31177, CVE-2021-31179.  ",Critical
976,"CVE-2021-31176 Microsoft Office Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-31175, CVE-2021-31177, CVE-2021-31179.  ",Critical
977,CVE-2021-31184 Microsoft Windows Infrared Data Association (IrDA) Information Disclosure Vulnerability  ,Critical
978,CVE-2021-31166 HTTP Protocol Stack Remote Code Execution Vulnerability  ,Critical
979,"CVE-2021-31208 Windows Container Manager Service Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-31165, CVE-2021-31167, CVE-2021-31168, CVE-2021-31169.  ",Critical
980,CVE-2021-31192 Windows Media Foundation Core Remote Code Execution Vulnerability  ,Critical
981,CVE-2021-31174 Microsoft Excel Information Disclosure Vulnerability  ,Critical
982,"CVE-2021-31168 Windows Container Manager Service Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-31165, CVE-2021-31167, CVE-2021-31169, CVE-2021-31208.  ",Critical
983,CVE-2021-31193 Windows SSDP Service Elevation of Privilege Vulnerability  ,Critical
984,CVE-2021-31195 Microsoft Exchange Server Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-31198.  ,Critical
985,CVE-2021-31182 Microsoft Bluetooth Driver Spoofing Vulnerability  ,Critical
986,CVE-2021-31204 .NET and Visual Studio Elevation of Privilege Vulnerability  ,Critical
987,"CVE-2021-31172 Microsoft SharePoint Spoofing Vulnerability This CVE ID is unique from CVE-2021-26418, CVE-2021-28478.  ",Critical
988,CVE-2021-31209 Microsoft Exchange Server Spoofing Vulnerability  ,Critical
989,"CVE-2021-31179 Microsoft Office Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-31175, CVE-2021-31176, CVE-2021-31177.  ",Critical
990,CVE-2021-31170 Windows Graphics Component Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-31188.  ,Critical
991,CVE-2021-31190 Windows Container Isolation FS Filter Driver Elevation of Privilege Vulnerability  ,Critical
992,CVE-2021-31207 Microsoft Exchange Server Security Feature Bypass Vulnerability  ,Critical
993,CVE-2021-31178 Microsoft Office Information Disclosure Vulnerability  ,Critical
994,CVE-2021-31200 Common Utilities Remote Code Execution Vulnerability  ,Critical
995,"CVE-2021-31177 Microsoft Office Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-31175, CVE-2021-31176, CVE-2021-31179.  ",Critical
996,CVE-2021-31191 Windows Projected File System FS Filter Driver Information Disclosure Vulnerability  ,Critical
997,"CVE-2021-31169 Windows Container Manager Service Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-31165, CVE-2021-31167, CVE-2021-31168, CVE-2021-31208.  ",Critical
998,CVE-2021-31198 Microsoft Exchange Server Remote Code Execution Vulnerability This CVE ID is unique from CVE-2021-31195.  ,Critical
999,"CVE-2021-31165 Windows Container Manager Service Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-31167, CVE-2021-31168, CVE-2021-31169, CVE-2021-31208.  ",Critical
1000,CVE-2021-31188 Windows Graphics Component Elevation of Privilege Vulnerability This CVE ID is unique from CVE-2021-31170.  ,Critical
1001,CVE-2021-31213 Visual Studio Code Remote Containers Extension Remote Code Execution Vulnerability  ,Critical
1002,CVE-2021-31187 Windows WalletService Elevation of Privilege Vulnerability  ,Critical
1003,CVE-2021-31194 OLE Automation Remote Code Execution Vulnerability  ,Critical
1004,CVE-2021-31180 Microsoft Office Graphics Remote Code Execution Vulnerability  ,Critical
1005,CVE-2021-31205 Windows SMB Client Security Feature Bypass Vulnerability  ,Critical
1006,CVE-2021-31181 Microsoft SharePoint Remote Code Execution Vulnerability  ,Critical
1007,CVE-2021-31171 Microsoft SharePoint Information Disclosure Vulnerability  ,Critical
1008,CVE-2021-28465 Web Media Extensions Remote Code Execution Vulnerability  ,Critical
1009,CVE-2021-28479 Windows CSC Service Information Disclosure Vulnerability  ,Critical
1010,CVE-2021-28455 Microsoft Jet Red Database Engine and Access Connectivity Engine Remote Code Execution Vulnerability  ,Critical
1011,"CVE-2021-28478 Microsoft SharePoint Spoofing Vulnerability This CVE ID is unique from CVE-2021-26418, CVE-2021-31172.  ",Critical
1012,CVE-2021-28474 Microsoft SharePoint Server Remote Code Execution Vulnerability  ,Critical
1013,CVE-2021-28476 Hyper-V Remote Code Execution Vulnerability  ,Critical
1014,CVE-2021-28461 Dynamics Finance and Operations Cross-site Scripting Vulnerability  ,Critical
1015,CVE-2021-27068 Visual Studio Remote Code Execution Vulnerability  ,Critical
1016,CVE-2021-26422 Skype for Business and Lync Remote Code Execution Vulnerability  ,Critical
1017,"CVE-2021-26418 Microsoft SharePoint Spoofing Vulnerability This CVE ID is unique from CVE-2021-28478, CVE-2021-31172.  ",Critical
1018,CVE-2021-26421 Skype for Business and Lync Spoofing Vulnerability  ,Critical
1019,CVE-2021-26419 Scripting Engine Memory Corruption Vulnerability  ,Critical
1020,"CVE-2020-18964 Cross Site Request Forgery (CSRF) Vulnerability in ForestBlog latest version via the website Management background, which could let a remote malicious gain privileges.  ",Critical
1021,"CVE-2021-32573 ** DISPUTED ** The express-cart package through 1.1.10 for Node.js allows Reflected XSS (for an admin) via a user input field for product options. NOTE: the vendor states that this ""would rely on an admin hacking his/her own website.""  ",Critical
1022,CVE-2021-29509 Puma is a concurrent HTTP 1.1 server for Ruby/Rack applications. The fix for CVE-2019-16770 was incomplete. The original fix only protected existing connections that had already been accepted from having their requests starved by greedy p...  ,Critical
1023,"CVE-2021-29508 Due to how Wire handles type information in its serialization format, malicious payloads can be passed to a deserializer. e.g. using a surrogate on the sender end, an attacker can pass information about a different typ...  ",Critical
1024,CVE-2020-4536 IBM OpenPages GRC Platform 8.1 could allow a remote attacker to obtain sensitive information when a detailed technical error message is returned in the browser. This information could be used in further attacks against the system. IBM X-Fo...  ,Critical
1025,CVE-2020-4535 IBM OpenPages GRC Platform 8.1 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials disclosure w...  ,Critical
1026,"CVE-2021-31537 SIS SIS-REWE Go before 7.7 SP17 allows XSS: rewe/prod/web/index.php (affected parameters are config, version, win, db, pwd, and user) and /rewe/prod/web/rewe_go_check.php (version and all other parameters).  ",Critical
1027,"CVE-2021-29471 Synapse is a Matrix reference homeserver written in python (pypi package matrix-synapse). Matrix is an ecosystem for open federated Instant Messaging and VoIP. In Synapse before version 1.33.2 ""Push rules"" can specify conditions under whi...  ",Critical
1028,"CVE-2021-27619 SAP Commerce (Backoffice Search), versions - 1808, 1811, 1905, 2005, 2011, allows a low privileged user to search for attributes which are not supposed to be displayed to them. Although the search results are masked, the user can iterativ...  ",Critical
1029,"CVE-2021-27618 The Integration Builder Framework of SAP Process Integration versions - 7.10, 7.11, 7.20, 7.30, 7.31, 7.40, 7.50, does not check the file type extension of the file uploaded from local source. An attacker could craft a malicious file and ...  ",Critical
1030,"CVE-2021-27617 The Integration Builder Framework of SAP Process Integration versions - 7.10, 7.11, 7.20, 7.30, 7.31, 7.40, 7.50, does not sufficiently validate an XML document uploaded from local source. An attacker can craft a malicious XML which when ...  ",Critical
1031,"CVE-2021-27616 Under certain conditions, SAP Business One Hana Chef Cookbook, versions - 8.82, 9.0, 9.1, 9.2, 9.3, 10.0, used to install SAP Business One for SAP HANA, allows an attacker to exploit an insecure temporary backup path and to access informa...  ",Critical
1032,"CVE-2021-27614 SAP Business One Hana Chef Cookbook, versions - 8.82, 9.0, 9.1, 9.2, 9.3, 10.0, used to install SAP Business One on SAP HANA, allows an attacker to inject code that can be executed by the application. An attacker could thereby control the...  ",Critical
1033,"CVE-2021-27613 Under certain conditions, SAP Business One Chef cookbook, version - 9.2, 9.3, 10.0, used to install SAP Business One, allows an attacker to exploit an insecure temporary folder for incoming &amp; outgoing payroll data and to access informatio...  ",Critical
1034,"CVE-2021-27612 In specific situations SAP GUI for Windows, versions - 7.60, 7.70 forwards a user to specific malicious website which could contain malware or might lead to phishing attacks to steal credentials of the victim.  ",Critical
1035,"CVE-2021-27611 SAP NetWeaver AS ABAP, versions - 700, 701, 702, 730, 731, allow a high privileged attacker to inject malicious code by executing an ABAP report when the attacker has access to the local SAP system. The attacker could then get access to d...  ",Critical
1036,CVE-2021-21656 Jenkins Xcode integration Plugin 2.0.14 and earlier does not configure its XML parser to prevent XML external entity (XXE) attacks.  ,Critical
1037,CVE-2021-21655 A cross-site request forgery (CSRF) vulnerability in Jenkins P4 Plugin 1.11.4 and earlier allows attackers to connect to an attacker-specified Perforce server using attacker-specified username and password.  ,Critical
1038,"CVE-2021-21654 Jenkins P4 Plugin 1.11.4 and earlier does not perform permission checks in multiple HTTP endpoints, allowing attackers with Overall/Read permission to connect to an attacker-specified Perforce server using attacker-specified username and ...  ",Critical
1039,"CVE-2021-21653 Jenkins Xray - Test Management for Jira Plugin 2.4.0 and earlier does not perform a permission check in an HTTP endpoint, allowing with Overall/Read permission to enumerate credentials IDs of credentials stored in Jenkins.  ",Critical
1040,CVE-2021-21652 A cross-site request forgery (CSRF) vulnerability in Jenkins Xray - Test Management for Jira Plugin 2.4.0 and earlier allows attackers to connect to an attacker-specified URL using attacker-specified credentials IDs obtained through anoth...  ,Critical
1041,"CVE-2021-21651 Jenkins S3 publisher Plugin 0.11.6 and earlier does not perform a permission check in an HTTP endpoint, allowing attackers with Overall/Read permission to obtain the list of configured profiles.  ",Critical
1042,"CVE-2021-21650 Jenkins S3 publisher Plugin 0.11.6 and earlier does not perform Run/Artifacts permission checks in various HTTP endpoints and API models, allowing attackers with Item/Read permission to obtain information about artifacts uploaded to S3, i...  ",Critical
1043,"CVE-2021-21649 Jenkins Dashboard View Plugin 2.15 and earlier does not escape URLs referenced in Image Dashboard Portlets, resulting in a stored cross-site scripting (XSS) vulnerability exploitable by attackers with View/Configure permission.  ",Critical
1044,"CVE-2021-21648 Jenkins Credentials Plugin 2.3.18 and earlier does not escape user-controlled information on a view it provides, resulting in a reflected cross-site scripting (XSS) vulnerability.  ",Critical
1045,CVE-2020-20267 Mikrotik RouterOs before 6.47 (stable tree) suffers from a memory corruption vulnerability in the /nova/bin/resolver process. An authenticated remote attacker can cause a Denial of Service due to invalid memory access.  ,Critical
1046,CVE-2020-20265 Mikrotik RouterOs before 6.47 (stable tree) suffers from a memory corruption vulnerability in the /ram/pckg/wireless/nova/bin/wireless process. An authenticated remote attacker can cause a Denial of Service due via a crafted packet.  ,Critical
1047,CVE-2021-32561 OctoPrint before 1.6.0 allows XSS because API error messages include the values of input parameters.  ,Critical
1048,CVE-2021-32560 The Logging subsystem in OctoPrint before 1.6.0 has incorrect access control because it attempts to manage files that are not *.log files.  ,Critical
1049,"CVE-2021-31915 In JetBrains TeamCity before 2020.2.4, OS command injection leading to remote code execution was possible.  ",Critical
1050,"CVE-2021-31914 In JetBrains TeamCity before 2020.2.4 on Windows, arbitrary code execution on TeamCity Server was possible.  ",Critical
1051,"CVE-2021-31913 In JetBrains TeamCity before 2020.2.3, insufficient checks of the redirect_uri were made during GitHub SSO token exchange.  ",Critical
1052,"CVE-2021-31898 In JetBrains WebStorm before 2021.1, HTTP requests were used instead of HTTPS.  ",Critical
1053,"CVE-2021-31897 In JetBrains WebStorm before 2021.1, code execution without user confirmation was possible for untrusted projects.  ",Critical
1054,"CVE-2021-30482 In JetBrains UpSource before 2020.1.1883, application passwords were not revoked correctly  ",Critical
1055,CVE-2020-35438 Cross Site Scripting (XSS) vulnerability in the kk Star Ratings plugin before 4.1.5.  ,Critical
1056,"CVE-2021-31912 In JetBrains TeamCity before 2020.2.3, account takeover was potentially possible during a password reset.  ",Critical
1057,"CVE-2021-31911 In JetBrains TeamCity before 2020.2.3, reflected XSS was possible on several pages.  ",Critical
1058,"CVE-2021-31910 In JetBrains TeamCity before 2020.2.3, information disclosure via SSRF was possible.  ",Critical
1059,"CVE-2021-31909 In JetBrains TeamCity before 2020.2.3, argument injection leading to remote code execution was possible.  ",Critical
1060,"CVE-2021-31908 In JetBrains TeamCity before 2020.2.3, stored XSS was possible on several pages.  ",Critical
1061,"CVE-2021-31907 In JetBrains TeamCity before 2020.2.2, permission checks for changing TeamCity plugins were implemented improperly.  ",Critical
1062,"CVE-2021-31906 In JetBrains TeamCity before 2020.2.2, audit logs were not sufficient when an administrator uploaded a file.  ",Critical
1063,"CVE-2021-31905 In JetBrains YouTrack before 2020.6.8801, information disclosure in an issue preview was possible.  ",Critical
1064,"CVE-2021-31904 In JetBrains TeamCity before 2020.2.2, XSS was potentially possible on the test history page.  ",Critical
1065,"CVE-2021-31903 In JetBrains YouTrack before 2021.1.9819, a pull request's title was sanitized insufficiently, leading to XSS.  ",Critical
1066,"CVE-2021-31902 In JetBrains YouTrack before 2020.6.6600, access control during the exporting of issues was implemented improperly.  ",Critical
1067,"CVE-2021-31901 In JetBrains Hub before 2021.1.13079, two-factor authentication wasn't enabled properly for the All Users group.  ",Critical
1068,"CVE-2021-31900 In JetBrains Code With Me bundled to the compatible IDE versions before 2021.1, a client could open a browser on a host.  ",Critical
1069,"CVE-2021-31899 In JetBrains Code With Me bundled to the compatible IDEs before version 2021.1, the client could execute code in read-only mode.  ",Critical
1070,"CVE-2021-30504 In JetBrains IntelliJ IDEA before 2021.1, DoS was possible because of unbounded resource allocation.  ",Critical
1071,"CVE-2021-30006 In IntelliJ IDEA before 2020.3.3, XXE was possible, leading to information disclosure.  ",Critical
1724,How To Enter A Lobby In Style...,Non Critical
1756,“It’s coming at ya”,Non Critical
1757,I've taken the Havok place it was never meant to go.,Non Critical
1758,GTA V Tik Tok Half Pipe race,Non Critical
1759,VIOLATED UPON DEATH,Non Critical
1760,Does anyone know how to get this guy's outfit in GTA? As in where to go and what to buy? Thank you.,Non Critical
1761,Saved... I guess?,Non Critical
1762,Can the arena war vehicles be used as custom vehicles in races?,Non Critical
1763,Do I have to buy the sonar station and get a rebate or will it be free?,Non Critical
1072,"CVE-2021-30005 In JetBrains PyCharm before 2020.3.4, local code execution was possible because of insufficient checks when getting the project from VCS.  ",Critical
1073,"CVE-2021-29263 In JetBrains IntelliJ IDEA 2020.3.3, local code execution was possible because of insufficient checks when getting the project from VCS.  ",Critical
1074,"CVE-2021-27733 In JetBrains YouTrack before 2020.6.6441, stored XSS was possible via an issue attachment.  ",Critical
1075,"CVE-2021-26310 In the TeamCity IntelliJ plugin before 2020.2.2.85899, DoS was possible.  ",Critical
1076,CVE-2021-26309 Information disclosure in the TeamCity plugin for IntelliJ before 2020.2.2.85899 was possible because a local temporary file had Insecure Permissions.  ,Critical
1077,"CVE-2021-3315 In JetBrains TeamCity before 2020.2.2, stored XSS on a tests page was possible.  ",Critical
1078,CVE-2020-27246 An exploitable SQL injection vulnerability exists in ‘listImmoLabels.jsp’ page of OpenClinic GA 5.173.3 application. The immoComment parameter in the ‘listImmoLabels.jsp’ page is vulnerable to authenticated SQL injection. An attac...  ,Critical
1079,CVE-2020-27245 An exploitable SQL injection vulnerability exists in ‘listImmoLabels.jsp’ page of OpenClinic GA 5.173.3 application. The immoBuyer parameter in the ‘listImmoLabels.jsp’ page is vulnerable to authenticated SQL injection. An attacke...  ,Critical
1080,CVE-2020-27244 An exploitable SQL injection vulnerability exists in ‘listImmoLabels.jsp’ page of OpenClinic GA 5.173.3 application. The immoCode parameter in the ‘listImmoLabels.jsp’ page is vulnerable to authenticated SQL injection. An attacker...  ,Critical
1081,CVE-2020-27243 An exploitable SQL injection vulnerability exists in ‘listImmoLabels.jsp’ page of OpenClinic GA 5.173.3 application. The immoService parameter in the ‘listImmoLabels.jsp’ page is vulnerable to authenticated SQL injection. An attac...  ,Critical
1082,CVE-2020-27242 An exploitable SQL injection vulnerability exists in ‘listImmoLabels.jsp’ page of OpenClinic GA 5.173.3 application. The immoLocation parameter in the ‘listImmoLabels.jsp’ page is vulnerable to authenticated SQL injection. An atta...  ,Critical
1083,"CVE-2021-32544 Special characters of IGT search function in igt+ are not filtered in specific fields, which allow remote authenticated attackers can inject malicious JavaScript and carry out DOM-based XSS (Cross-site scripting) attacks.  ",Critical
1084,"CVE-2021-30174 RiyaLab CloudISO event item is added, special characters in specific field of time management page are not properly filtered, which allow remote authenticated attackers can inject malicious JavaScript and carry out stored XSS (Stored Cros...  ",Critical
1085,"CVE-2021-32563 An issue was discovered in Thunar before 4.16.7 and 4.17.x before 4.17.2. When called with a regular file as a command-line argument, it delegates to a different program (based on the file type) without user confirmation. This could be us...  ",Critical
1086,CVE-2020-23575 A directory traversal vulnerability exists in Kyocera Printer d-COPIA253MF plus. Successful exploitation of this vulnerability could allow an attacker to retrieve or view arbitrary files from the affected server.  ,Critical
1087,"CVE-2020-23376 NoneCMS v1.3 has a CSRF vulnerability in public/index.php/admin/nav/add.html, as demonstrated by adding a navigation column which can be injected with arbitrary web script or HTML via the name parameter to launch a stored XSS attack.  ",Critical
1088,CVE-2020-23374 Cross-site scripting (XSS) vulnerability in admin/article/add.html in noneCMS v1.3.0 allows remote authenticated attackers to inject arbitrary web script or HTML via the name parameter.  ,Critical
1089,CVE-2020-23373 Cross-site scripting (XSS) vulnerability in admin/nav/add.html in noneCMS v1.3.0 allows remote authenticated attackers to inject arbitrary web script or HTML via the name parameter.  ,Critical
1090,CVE-2020-23371 Cross-site scripting (XSS) vulnerability in static/admin/js/kindeditor/plugins/multiimage/images/swfupload.swf in noneCms v1.3.0 allows remote attackers to inject arbitrary web script or HTML via the movieName parameter.  ,Critical
1091,"CVE-2020-23370 In YzmCMS 5.6, stored XSS exists via the common/static/plugin/ueditor/1.4.3.3/php/controller.php action parameter, which allows remote attackers to upload a swf file. The swf file can be injected with arbitrary web script or HTML.  ",Critical
1092,"CVE-2020-23369 In YzmCMS 5.6, XSS was discovered in member/member_content/init.html via the SRC attribute of an IFRAME element because of using UEditor 1.4.3.3.  ",Critical
1093,CVE-2021-32489 An issue was discovered in the _send_secure_msg() function of Yubico yubihsm-shell through 2.0.3. The function does not correctly validate the embedded length field of an authenticated message received from the device because resp...  ,Critical
1094,CVE-2021-32399 net/bluetooth/hci_request.c in the Linux kernel through 5.12.2 has a race condition for removal of the HCI controller.  ,Critical
1095,"CVE-2021-32053 JPA Server in HAPI FHIR before 5.4.0 allows a user to deny service (e.g., disable access to the database after the attack stops) via history requests. This occurs because of a SELECT COUNT statement that requires a full index scan, with a...  ",Critical
1096,"CVE-2021-21430 OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec. Using `File.createTempFile` in JDK will result in creating and using...  ",Critical
1097,CVE-2020-28600 An out-of-bounds write vulnerability exists in the import_stl.cc:import_stl() functionality of Openscad openscad-2020.12-RC2. A specially crafted STL file can lead to code execution. An attacker can provide a malicious file to t...  ,Critical
1098,"CVE-2020-18102 Cross Site Scripting (XSS) in Hotels_Server v1.0 allows remote attackers to execute arbitrary code by injecting crafted commands the data fields in the component ""/controller/publishHotel.php"".  ",Critical
1099,"CVE-2021-29022 In InvoicePlane 1.5.11, the upload feature discloses the full path of the file upload directory.  ",Critical
1100,"CVE-2021-21428 Openapi generator is a java tool which allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec. openapi-generator-online creates insecure tempor...  ",Critical
1101,"CVE-2020-28588 An information disclosure vulnerability exists in the /proc/pid/syscall functionality of Linux Kernel 5.1 Stable and 5.4.66. More specifically, this issue has been introduced in v5.1-rc4 (commit 631b7abacd02b88f4b0795c08b54ad4fc3e7c7c0) a...  ",Critical
1102,CVE-2020-27232 An exploitable SQL injection vulnerability exists in ‘manageServiceStocks.jsp’ page of OpenClinic GA 5.173.3. A specially crafted HTTP request can lead to SQL injection. An attacker can make an authenticated HTTP request to trigger this v...  ,Critical
1103,CVE-2020-27226 An exploitable SQL injection vulnerability exists in ‘quickFile.jsp’ page of OpenClinic GA 5.173.3. A specially crafted HTTP request can lead to SQL injection. An attacker can make an authenticated HTTP request to trigger this vu...  ,Critical
1104,CVE-2021-29502 WarnSystem is a cog (plugin) for the Red discord bot. A vulnerability has been found in the code that allows any user to access sensible informations by setting up a specific template which is not properly sanitized. The problem has been ...  ,Critical
1105,"CVE-2020-19199 A Cross Site Request Forgery (CSRF) vulnerability exists in PHPOK 5.2.060 via admin.php?c=admin&amp;f=save, which could let a remote malicious user execute arbitrary code.  ",Critical
1106,CVE-2021-29501 Ticketer is a command based ticket system cog (plugin) for the red discord bot. A vulnerability allowing discord users to expose sensitive information has been found in the Ticketer cog. Please upgrade to version 1.0.1 as soon as possible...  ,Critical
1107,CVE-2021-20577 IBM Cloud Pak for Security (CP4S) 1.5.0.0 and 1.5.0.1 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to ...  ,Critical
1108,CVE-2021-20559 IBM Control Desk 7.6.1.2 and 7.6.1.3 is vulnerable to cross-site scripting. This vulnerability allows users to embed arbitrary JavaScript code in the Web UI thus altering the intended functionality potentially leading to credentials discl...  ,Critical
1109,CVE-2021-20538 IBM Cloud Pak for Security (CP4S) 1.5.0.0 and 1.5.0.1 could allow a user to obtain sensitive information or perform actions they should not have access to due to incorrect authorization mechanisms. IBM X-Force ID: 198919.  ,Critical
1110,CVE-2020-13529 An exploitable denial-of-service vulnerability exists in Systemd 245. A specially crafted DHCP FORCERENEW packet can cause a server running the DHCP client to be vulnerable to a DHCP ACK spoofing attack. An attacker can forge a pair of FO...  ,Critical
1111,"CVE-2021-28664 The Arm Mali GPU kernel driver allows privilege escalation or a denial of service (memory corruption) because an unprivileged user can achieve read/write access to read-only pages. This affects Bifrost r0p0 through r28p0 before r29p0, Val...  ",Critical
1112,"CVE-2021-28663 The Arm Mali GPU kernel driver allows privilege escalation or information disclosure because GPU memory operations are mishandled, leading to a use-after-free. This affects Bifrost r0p0 through r28p0 before r29p0, Valhall r19p0 through r2...  ",Critical
1113,"CVE-2021-23016 On BIG-IP APM versions 15.1.x before 15.1.3, 14.1.x before 14.1.4.1, 13.1.x before 13.1.4, and all versions of 16.0.x, 12.1.x, and 11.6.x, an attacker may be able to bypass APM's internal restrictions and retrieve static content that is h...  ",Critical
1114,"CVE-2021-23015 On BIG-IP 15.1.x before 15.1.3, 14.1.x before 14.1.4.2, 13.1.0.8 through 13.1.3.6, and all versions of 16.0.x, when running in Appliance Mode, an authenticated user assigned the 'Administrator' role may be able to bypass Appliance Mode re...  ",Critical
1115,"CVE-2021-23014 On versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.3, and 14.1.x before 14.1.4, BIG-IP Advanced WAF and ASM are missing authorization checks for file uploads to a specific directory within the REST API which might allow Authenticated ...  ",Critical
1116,"CVE-2021-23012 On BIG-IP versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.3, 14.1.x before 14.1.4, and 13.1.x before 13.1.4, lack of input validation for items used in the system support functionality may allow users granted either ""Resource Administ...  ",Critical
1117,"CVE-2021-23010 On versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.2, 14.1.x before 14.1.3.1, 13.1.x before 13.1.3.5, and 12.1.x before 12.1.5.3, when the BIG-IP ASM/Advanced WAF system processes WebSocket requests with JSON payloads using the defaul...  ",Critical
1118,"CVE-2021-23009 On BIG-IP version 16.0.x before 16.0.1.1 and 15.1.x before 15.1.3, malformed HTTP/2 requests may cause an infinite loop which causes a Denial of Service for Data Plane traffic. TMM takes the configured HA action when the TMM process is ab...  ",Critical
1119,"CVE-2021-21822 A use-after-free vulnerability exists in the JavaScript engine of Foxit Software’s PDF Reader, version 10.1.3.37598. A specially crafted PDF document can trigger the reuse of previously free memory, which can lead to arbitrary code execut...  ",Critical
1120,"CVE-2021-23013 On BIG-IP versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.3, 14.1.x before 14.1.4, 13.1.x before 13.1.3.6, and 12.1.x before 12.1.5.3, the Traffic Management Microkernel (TMM) may stop responding when processing Stream Control Transmi...  ",Critical
1121,"CVE-2021-23011 On versions 16.0.x before 16.0.1.1, 15.1.x before 15.1.3, 14.1.x before 14.1.4, 13.1.x before 13.1.4, 12.1.x before 12.1.6, and 11.6.x before 11.6.5.3, when the BIG-IP system is buffering packet fragments for reassembly, the Traffic Manag...  ",Critical
1122,"CVE-2021-23008 On version 15.1.x before 15.1.3, 14.1.x before 14.1.4, 13.1.x before 13.1.4, 12.1.x before 12.1.6, and all versions of 16.0.x and 11.6.x., BIG-IP APM AD (Active Directory) authentication can be bypassed via a spoofed AS-REP (Kerberos Auth...  ",Critical
1123,"CVE-2021-32056 Cyrus IMAP before 3.2.7, and 3.3.x and 3.4.x before 3.4.1, allows remote authenticated users to bypass intended access restrictions on server annotations and consequently cause replication to stall.  ",Critical
1124,CVE-2021-26583 Potential security vulnerabilities have been identified in HPE iLO Amplifier Pack using bootstrap framework. The vulnerabilities could be remotely exploited to allow remote code execution and cross site scripting (XSS). HPE has released a...  ,Critical
1125,"CVE-2021-25645 An issue was discovered in Couchbase Server before 6.0.5, 6.1.x through 6.5.x before 6.5.2, and 6.6.x before 6.6.1. An internal user with administrator privileges, @ns_server, leaks cr...  ",Critical
1126,"CVE-2021-22672 Delta Electronics' CNCSoft ScreenEditor in versions prior to v1.01.30 could allow the corruption of data, a denial-of-service condition, or code execution. The vulnerability may allow an attacker to remotely execute arbitrary code.  ",Critical
1127,"CVE-2020-22809 In Windscribe v1.83 Build 20, 'WindscribeService' has an Unquoted Service Path that facilitates privilege escalation.  ",Critical
1128,CVE-2021-24011 A privilege escalation vulnerability in FortiNAC version below 8.8.2 may allow an admin user to escalate the privileges to root by abusing the sudo privileges.  ,Critical
1129,CVE-2021-31520 A weak session token authentication bypass vulnerability in Trend Micro IM Security 1.6 and 1.6.5 could allow an remote attacker to guess currently logged-in administrators' session session token in order to gain access to the product's w...  ,Critical
1130,"CVE-2021-25849 An integer underflow was discovered in userdisk/vport_lldpd in Moxa Camera VPort 06EC-2V Series, version 1.1, improper validation of the PortID TLV leads to Denial of Service via a crafted lldp packet.  ",Critical
1131,"CVE-2021-25848 Improper validation of the length field of LLDP-MED TLV in userdisk/vport_lldpd in Moxa Camera VPort 06EC-2V Series, version 1.1, allows information disclosure to attackers due to using fixed loop counter variable without checking the act...  ",Critical
1132,"CVE-2021-25847 Improper validation of the length field of LLDP-MED TLV in userdisk/vport_lldpd in Moxa Camera VPort 06EC-2V Series, version 1.1, allows information disclosure to attackers due to controllable loop counter variable via a crafted lldp packet.  ",Critical
1133,"CVE-2021-25846 Improper validation of the ChassisID TLV in userdisk/vport_lldpd in Moxa Camera VPort 06EC-2V Series, version 1.1, allows attackers to cause a denial of service due to a negative number passed to the memcpy function via a crafted lldp pac...  ",Critical
1134,"CVE-2021-25845 Improper validation of the ChassisID TLV in userdisk/vport_lldpd in Moxa Camera VPort 06EC-2V Series, version 1.1, allows attackers to cause a denial of service due to a NULL pointer dereference via a crafted lldp packet.  ",Critical
1135,"CVE-2021-20717 Cross-site scripting vulnerability in EC-CUBE 4.0.0 to 4.0.5 allows a remote attacker to inject a specially crafted script in the specific input field of the EC web site which is created using EC-CUBE. As a result, it may lead to an arbit...  ",Critical
